"shipment_facility_current_name","shipment_facility_nexthop_name","shipment_service_tier","shipment_tms_cutoff","tracking_id_merchant","tracking_id_ekart","bag_facility_source_name","shipment_facility_source_name","fact_updated_at","shipment_cpd"
"MotherHub_YKB","MotherHub_NAG_BTS","ECONOMY","00:00:00","D-36813613558962107","FMPC3257253023","KanjhawalaHub_DEL_PL","MotherHub_YKB","2023-11-23T02:26:13.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","VxpressKuiaODH_DBD","ECONOMY","03:00:00","A-47685914795985055","FMPC3259140257","BadshahpurHub_DEL_PL","MotherHub_YKB","2023-11-23T07:41:50.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","RaiganjHub_RGJ","ECONOMY","06:00:00","F-47671088934694143","FMPC3258956696","PaharganjHub_DEL_PL","MotherHub_YKB","2023-11-23T10:07:06.000+05:30","2023-11-29T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","B-68188737075208717","FMPP2022093932","PanipatHub_PPT_PL","MotherHub_YKB","2023-11-23T13:15:25.000+05:30","2023-12-02T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","C-6253553385745709","FMPC3249801865","CABTJalandharOPH_JLR_PL","MotherHub_YKB","2023-11-22T19:33:26.000+05:30","2023-11-30T02:59:59.000+05:30"
"MotherHub_YKB","PandebeswarHub_BMG","ECONOMY","03:00:00","E-6582102487782276","FMPC3257288105","NarelaHub_DEL_PL","MotherHub_YKB","2023-11-23T12:06:57.000+05:30","2023-11-27T02:59:59.000+05:30"
"MotherHub_YKB","GangarampurHub_GRM","ECONOMY","06:00:00","G-70033545417838282","FMPP2021822841","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-23T07:51:37.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","MotherHub_HJR","ECONOMY","19:00:00","C-36889679126147019","FMPC3258987265","BurariHub_DEL_PL","MotherHub_YKB","2023-11-23T01:55:20.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","BalurghatHub_BLT","ECONOMY","06:00:00","E-68161780033885854","FMPP2022072417","SangamviharHub_DEL_PL","MotherHub_YKB","2023-11-23T09:34:53.000+05:30","2023-11-28T02:59:59.000+05:30"
"MotherHub_YKB","Motherhub_PLS","ECONOMY","21:00:00","F-54891724561551602","FMPC3258047857","ChanakyapuriHub_DEL_PL","MotherHub_YKB","2023-11-23T12:15:14.000+05:30","2023-11-30T02:59:59.000+05:30"
