"id","time1","cv","bag_seal_id","cage_id"
"264","2023-11-20 19:05:40.888039","CV 1","EBJUBJU-660862809","18"
"265","2023-11-20 19:05:43.530754","CV 5","ENAGWDI-660895978","12"
"266","2023-11-20 19:05:51.465728","CV 5","EGAYBHI-660851801","17"
"267","2023-11-20 19:05:52.092332","CV 1","ESTVNVS-660885037","15"
"268","2023-11-20 19:05:58.692145","CV 1","EPATPNP-1138551","16"
"269","2023-11-20 19:06:02.648405","CV 5","EBOMJOG-660872900","15"
"270","2023-11-20 19:06:05.179278","CV 1","EBLPKOR-660851896","18"
"271","2023-11-20 19:06:10.346265","CV 5","ERDPBGP-1530026","17"
"272","2023-11-20 19:06:13.434757","CV 1","ETEZTPU-1433851","42"
"273","2023-11-20 19:06:22.027058","CV 5","ECCUIPR-660873832","17"
"274","2023-11-20 19:06:31.612377","CV 5","ECDPCDP-660889009","12"
"275","2023-11-20 19:06:39.161382","CV 5","ENAGWMN-660925254","12"
"276","2023-11-20 19:06:45.447950","CV 1","EBOMMSO-1627946","16"
"277","2023-11-20 19:06:48.071081","CV 5","EBIHARH-660910168","19"
"278","2023-11-20 19:06:57.458457","CV 5","EJRHJRH-660935110","42"
"279","2023-11-20 19:07:16.549617","CV 5","EBOMBOR-660885054","15"
"280","2023-11-20 19:07:16.752252","CV 1","ECHHCHH-660859967","12"
"281","2023-11-20 19:07:32.882350","CV 5","ENAGJRP-1557153","12"
"283","2023-11-20 19:07:55.177366","CV 1","EBBISBR-1435868","18"
"284","2023-11-20 19:07:56.842000","CV 5","EDELKNN-660892272","14"
"285","2023-11-20 19:08:03.205235","CV 1","EGAUAZR-1509738","13"
"286","2023-11-20 19:08:04.872269","CV 5","EWRDWRD-660850807","12"
"287","2023-11-20 19:08:11.225376","CV 5","EBBIJAG-1696117","23"
"288","2023-11-20 19:08:11.757923","CV 1","EIXUHSL-233462","16"
"289","2023-11-20 19:08:14.389400","CV 5","EBIHBGI-660908039","19"
"290","2023-11-20 19:08:19.270690","CV 5","EBHUCUT-3596535-1304","23"
"291","2023-11-20 19:08:19.876715","CV 1","EPATZMP-531764","19"
"292","2023-11-20 19:08:27.858014","CV 5","ECCUMID-1533712","25"
"293","2023-11-20 19:08:30.487315","CV 5","SLC40462114-23","14"
"294","2023-11-20 19:08:38.996333","CV 5","EBBIBRH-1462662","23"
"295","2023-11-20 19:08:41.389103","CV 5","ENLPNLP-660876959","13"
"296","2023-11-20 19:08:43.657324","CV 1","EPNQTGN-660893939","16"
"297","2023-11-20 19:08:46.051525","CV 5","EBAKBAK-660818777","23"
"298","2023-11-20 19:08:56.321601","CV 1","EIXRAMR-1589867","16"
"299","2023-11-20 19:09:01.643508","CV 5","EDELHZB-660882213","22"
"300","2023-11-20 19:09:03.528175","CV 1","ESHLJID-1620724","13"
"301","2023-11-20 19:09:08.961850","CV 5","EBBIBHM-1654132","23"
"302","2023-11-20 19:09:19.277574","CV 1","EGURJJH-2844871-1558","37"
"303","2023-11-20 19:09:24.867614","CV 5","EGAUHAJ-1560665","13"
"304","2023-11-20 19:09:32.767223","CV 5","EMGNMGN-660865885","15"
"305","2023-11-20 19:09:38.619400","CV 5","EBBIBMP-660927207","23"
"306","2023-11-20 19:09:47.334796","CV 5","ERDPJMT-1634866","28"
"307","2023-11-20 19:09:51.362435","CV 5","ERAICHG-2446785-1288","18"
"308","2023-11-20 19:10:02.571299","CV 5","EBOMJGO-660875026","14"
"309","2023-11-20 19:10:03.754221","CV 5","EBBIBNP-1426775","23"
"310","2023-11-20 19:10:10.534104","CV 5","EBBIDNK-660820832","23"
"311","2023-11-20 19:10:13.271622","CV 5","EPATBTS-4837367-1363","19"
"312","2023-11-20 19:10:19.038617","CV 5","EBBIPUR-660882840","23"
"313","2023-11-20 19:10:24.964599","CV 5","ETEZMGN-280377","13"
"314","2023-11-20 19:10:35.869234","CV 5","EIXBBAN-1450770","17"
"315","2023-11-20 19:10:38.714229","CV 5","EBBICTS-1547961","23"
"316","2023-11-20 19:10:46.858370","CV 5","EBIHPRN-660904119","17"
"317","2023-11-20 19:10:47.034676","CV 5","EBBIIBB-937137","23"
"318","2023-11-20 19:10:54.741528","CV 5","EIXBPNG-458573","17"
"319","2023-11-20 19:10:57.820446","CV 5","ECCUULB-5965679-1527","25"
"320","2023-11-20 19:11:02.011705","CV 5","EMUMSAI4-3703939-1378","15"
"321","2023-11-20 19:11:06.267305","CV 5","ECCUSKB-660902996","25"
"322","2023-11-20 19:11:11.492869","CV 5","EPATCHP-1524680","19"
"323","2023-11-20 19:11:15.070969","CV 5","EKOLGAR-660985205","25"
"324","2023-11-20 19:11:22.830794","CV 5","ESVPSVP-660796704","14"
"325","2023-11-20 19:11:23.026603","CV 5","EKOLULB-660891905","25"
"326","2023-11-20 19:11:28.700754","CV 5","EBOMMLW-660887025","15"
"327","2023-11-20 19:11:29.150288","CV 5","EBHUCUT-3592408-1303","23"
"328","2023-11-20 19:11:39.208726","CV 5","EBOMKMI-660882867","15"
"329","2023-11-20 19:11:41.308744","CV 5","ECCUULB-5964681-1526","25"
"330","2023-11-20 19:11:54.896246","CV 5","ERAICHG-2449680-1287","18"
"331","2023-11-20 19:11:55.719399","CV 5","EKOLHRN-2719680-1529","24"
"332","2023-11-20 19:12:03.701657","CV 5","EIXRJKD-2657496-1340","22"
"333","2023-11-20 19:12:09.648352","CV 5","ERAICHG-2451669-1287","18"
"334","2023-11-20 19:12:12.991379","CV 5","EBHUCUT-3592411-1532","23"
"335","2023-11-20 19:12:17.793936","CV 5","EGAUNLB-1412748","13"
"336","2023-11-20 19:12:22.986481","CV 5","EIXRJKD-2659532-1339","22"
"337","2023-11-20 19:12:26.206506","CV 5","EPNQNIM-660885046","16"
"338","2023-11-20 19:12:29.684619","CV 1","ESPHSPH-1536661","42"
"339","2023-11-20 19:12:36.424368","CV 5","EBBIBHC-660887921","23"
"340","2023-11-20 19:12:37.713868","CV 5","EJMUJMU-660873813","17"
"341","2023-11-20 19:12:37.866217","CV 1","EMGNMGN-660866873","15"
"342","2023-11-20 19:12:44.344260","CV 5","EKOLPOT-660895957","25"
"343","2023-11-20 19:12:47.547869","CV 5","EPATANH-1446715","19"
"344","2023-11-20 19:12:52.942179","CV 1","EPNQWAG-660881775","16"
"345","2023-11-20 19:12:55.894592","CV 5","ETTBTTB-660832742","13"
"346","2023-11-20 19:13:00.429585","CV 1","EKOJKOJ-660856760","17"
"347","2023-11-20 19:13:02.310695","CV 5","ECCUPHT-1531814","24"
"348","2023-11-20 19:13:06.015563","CV 5","EGAUBLT-1434735","13"
"349","2023-11-20 19:13:09.270535","CV 1","EHJIHJI-660805748","42"
"350","2023-11-20 19:13:11.766733","CV 5","ECCUERB-1761024","25"
"351","2023-11-20 19:13:14.684049","CV 5","EAMDSLS-660887846","15"
"352","2023-11-20 19:13:19.051086","CV 5","ECCUBUD-1529748","25"
"353","2023-11-20 19:13:24.963896","CV 1","EMUMSTR-660872770","15"
"354","2023-11-20 19:13:26.351632","CV 5","EIXAAGR-1443592","13"
"355","2023-11-20 19:13:30.364233","CV 5","EBBIGTM-660880961","23"
"356","2023-11-20 19:13:33.381897","CV 5","EJRHTOK-660810749","42"
"357","2023-11-20 19:13:38.397611","CV 5","ECCUBHP-660878891","24"
"358","2023-11-20 19:13:44.712799","CV 5","EDELJBL-660882229","12"
"359","2023-11-20 19:13:45.949065","CV 5","ECCUULB-5970459-1525","25"
"360","2023-11-20 19:13:52.288314","CV 1","EIXSIXS-660899922","13"
"361","2023-11-20 19:13:53.112418","CV 5","EPNQSTP-660894125","16"
"362","2023-11-20 19:13:54.637228","CV 5","EKDJKDJ-660844774","23"
"363","2023-11-20 19:14:00.537223","CV 5","EDGNDGN-660808692","42"
"364","2023-11-20 19:14:03.336944","CV 5","ERACRAC-266806-1687","43"
"365","2023-11-20 19:14:04.563883","CV 1","EPATMZF-660875843","42"
"366","2023-11-20 19:14:08.960738","CV 5","EBISBIS-660846757","15"
"367","2023-11-20 19:14:10.232935","CV 1","EDWSDWS-660815704","14"
"368","2023-11-20 19:14:11.109228","CV 5","EIXRGLM-1694288","22"
"369","2023-11-20 19:14:20.461380","CV 5","EIXBCOB-1456638","17"
"370","2023-11-20 19:14:23.828427","CV 5","EIXRJSG-1688031","23"
"371","2023-11-20 19:14:32.132949","CV 1","EDELHGJ-660933934","18"
"372","2023-11-20 19:14:33.029928","CV 5","EBOMCRR-660933226","16"
"373","2023-11-20 19:14:33.256227","CV 5","EBHUCUT-3595531-1303","23"
"374","2023-11-20 19:14:38.929939","CV 5","EGAURNG-1367504","13"
"375","2023-11-20 19:14:39.342852","CV 5","EBBICTK-660944092","23"
"376","2023-11-20 19:14:49.777922","CV 5","ECCUDSP-660864884","25"
"377","2023-11-20 19:14:56.598330","CV 5","EBHUCUT-3592716-1301","23"
"378","2023-11-20 19:14:58.150267","CV 5","EBBIKTR-1434834","12"
