"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3254925449","PH-B5-DELYKB-30467234","OPENED","2023-11-22T11:27:42.000+05:30","BAG",false,"2023-11-22T11:27:42.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3254819497","PH-B5-DELYKB-30549777","OPENED","2023-11-22T09:34:51.000+05:30","BAG",false,"2023-11-22T09:34:51.000+05:30"
"Britania_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3256786655","PH-B5-DELYKB-29953453","OPENED","2023-11-22T13:35:19.000+05:30","BAG",false,"2023-11-22T13:35:19.000+05:30"
"MundkaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2020573804","PH-B5-DELYKB-30553290","OPENED","2023-11-22T08:14:58.000+05:30","BAG",false,"2023-11-22T08:14:58.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3253417413","PH-ZO-DELYKB-28797036","OPENED","2023-11-22T15:58:08.000+05:30","BAG",false,"2023-11-22T15:58:08.000+05:30"
"RajnagarMP_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3255664279","PH-ZO-DELYKB-30451284","OPENED","2023-11-22T08:22:52.000+05:30","BAG",false,"2023-11-22T08:22:52.000+05:30"
"GandhinagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3249453002","PH-B5-DELYKB-30624228","OPENED","2023-11-21T07:17:27.000+05:30","BAG",false,"2023-11-21T07:17:27.000+05:30"
"SikandraNH2Hub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPP2017202019","PH-ZO-DELYKB-30601559","REACHED","2023-11-20T13:38:58.000+05:30","BAG",true,"2023-11-20T13:38:58.000+05:30"
"BudhViharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255528022","PH-B5-DELYKB-30657794","OPENED","2023-11-22T00:51:36.000+05:30","BAG",false,"2023-11-22T00:51:36.000+05:30"
"SangamviharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3255894761","PH-B5-DELYKB-30666126","OPENED","2023-11-22T07:30:42.000+05:30","BAG",false,"2023-11-22T07:30:42.000+05:30"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3256139343","PH-ZO-DELYKB-30616883","OPENED","2023-11-22T11:07:07.000+05:30","BAG",false,"2023-11-22T11:07:07.000+05:30"
"VasundharaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2018196295","PH-B5-DELYKB-30639266","OPENED","2023-11-22T15:23:55.000+05:30","SHIPMENT",false,"2023-11-22T15:23:55.000+05:30"
"HathrasHub_HTH_PL","MotherHub_BNL","MotherHub_YKB","B5","FMPP2020827703","PH-B5-DELYKB-30360267","REACHED","2023-11-22T15:18:05.000+05:30","BAG",true,"2023-11-22T15:18:05.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3248936136","PH-B5-DELYKB-30567876","OPENED","2023-11-21T20:27:54.000+05:30","BAG",false,"2023-11-21T20:27:54.000+05:30"
"AgraHub_AGR_PL","Motherhub_GGN","MotherHub_YKB","ZO","FMPC3253422674","PH-ZO-DELYKB-30628399","REACHED","2023-11-21T08:12:08.000+05:30","BAG",true,"2023-11-21T08:12:08.000+05:30"
"Chhatarpur_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2018535075","PH-ZO-DELYKB-30656972","OPENED","2023-11-22T08:59:52.000+05:30","BAG",false,"2023-11-22T08:59:52.000+05:30"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3255183878","PH-ZO-DELYKB-30648401","OPENED","2023-11-22T10:49:06.000+05:30","BAG",false,"2023-11-22T10:49:06.000+05:30"
