,hour_diff
17866,51
17868,2
17869,0
17879,61
17892,1
17900,220
17907,0
17922,1
17949,0
17950,1
17958,1
17959,3
17969,1
17983,1
18000,0
18001,17
18005,2
18015,1
18026,3
18040,0
18051,1
18054,1
18062,1
18063,1
18069,1
18089,1
18098,0
18109,1
18120,1
18138,3
18168,0
18170,0
18186,1
18208,1
18246,2
18262,1
18284,1
18297,38
18299,1
18312,1
18318,1
18323,2
18324,3
18325,1
18326,1
18330,1
18334,40
18340,44
18346,1
18364,137
18374,1
18384,3
18386,2
18400,2
18402,1
18416,112
18419,1
18423,3
18425,1
18427,1
18435,0
18444,0
18446,3
18451,1
18457,0
18469,1
18504,3
18507,15
18510,1
18513,0
18515,0
18523,2
18542,3
18544,1
18577,8
18587,1
18593,1
18597,25
18613,1
18630,1
18633,1
18640,1
18654,1
18666,1
18686,1
18688,1
18689,0
18713,2
18723,1
18732,31
18749,0
19159,1
19175,85
19184,0
19200,0
19258,0
19277,21
19308,122
19322,0
19387,35
19402,0
19413,0
19443,241
19457,84
19459,1
19472,0
19476,0
19480,0
19511,0
19517,0
19532,0
19541,0
19544,0
19561,36
19575,0
19592,111
19609,64
19645,0
19660,73
19686,0
19751,0
19774,0
19793,0
19811,0
19829,0
19843,1
19864,2
19875,1
19880,1
19898,1
19905,0
19980,0
20010,0
20056,1
20068,0
20147,183
20162,0
20176,0
20184,0
20262,0
20322,1
20328,1
20340,1
20401,1
20409,1
20423,61
20444,0
20458,0
20461,0
20465,1
20510,1
20518,1
20544,1
20559,1
20593,0
20610,1
20625,0
20632,0
20636,0
20711,0
20781,1
20811,0
20825,2
20844,1
20900,1
20912,0
20920,1
20926,1
20951,0
20958,0
20966,1
20980,1
21031,1
21035,65
21054,0
21061,0
21080,1
21109,0
21115,38
21121,239
21128,0
21160,0
21201,0
21247,0
21304,0
21334,38
21338,0
21345,0
21360,0
21364,0
21429,1
21442,1
21443,1
21454,0
21463,0
21477,0
21494,1
21500,0
21513,1
21521,71
21579,7
21584,1
21618,2
21622,0
21679,1
21685,0
21749,1
21795,1
21801,48
21835,0
21845,3
21859,4
21863,4
21868,3
21871,1
21873,1
21876,1
21880,1
21885,28
21886,1
21896,1
21898,1
21900,1
21904,1
21910,1
21912,4
21923,4
21931,0
21933,1
