"fact_updated_at","facility_current","facility_next","facility_destination","item_id","tms_cut_off","grid_name","suggested_time","suggested_ldap","item_type","pick_completed","Bag_Source","stag_status","pick_completed_time","Consg","part_of_grid_1"
"2023-11-17T02:28:45.753+05:30","MotherHub_YKB","MotherHub_SIL","CABTCoochbeharSplitODH_COB","EIXBCCB-1422513","00:00:00","17","2023-11-17T00:50:45.155+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:28:42.396+05:30","False",true
"2023-11-17T02:28:30.822+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2535195-1443","00:00:00","17","2023-11-17T01:01:48.180+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:28:27.313+05:30","False",true
"2023-11-17T02:28:20.821+05:30","MotherHub_YKB","MotherHub_NAG_BTS","BalaghatHub_BGT","EBGTBGT-660836782","00:00:00","12","2023-11-17T00:09:02.442+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:28:19.250+05:30","False",true
"2023-11-17T02:28:20.797+05:30","MotherHub_YKB","MotherHub_SIL","KatiharHub_KIR","EBIHKIR-660883953","00:00:00","17","2023-11-17T01:00:23.927+05:30","ca.2776243","BAG",true,"Source","Stagged","2023-11-17T02:28:18.318+05:30","False",true
"2023-11-17T02:28:15.631+05:30","MotherHub_YKB","MotherHub_NAG_BTS","TTSPLAkotODH_AKT","ENAGAKT-1258277","00:00:00","12","2023-11-17T00:04:56.733+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:28:14.313+05:30","False",true
"2023-11-17T02:28:05.908+05:30","MotherHub_YKB","MotherHub_NAG_BTS","MotherHub_NAG_BTS","ENAGBTS-2475626-1361","00:00:00","12","2023-11-17T00:20:31.093+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:28:01.266+05:30","False",true
"2023-11-17T02:28:02.054+05:30","MotherHub_YKB","MotherHub_SIL","MotherHub_SIL","EBAGSIL-2533286-1380","00:00:00","17","2023-11-17T01:05:40.354+05:30","ca.2310931","BAG",true,"Source","Stagged","2023-11-17T02:28:00.180+05:30","False",true
"2023-11-17T02:27:55.714+05:30","MotherHub_YKB","MotherHub_NAG_BTS","SeoniHub_SEO","ESEOSEO-660795673","00:00:00","12","2023-11-17T00:20:58.604+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:27:55.283+05:30","False",true
"2023-11-17T02:27:55.698+05:30","MotherHub_YKB","MotherHub_NAG_BTS","WadiHub_NAG","ENAGWDI-660891923","00:00:00","12","2023-11-17T00:24:32.420+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:27:52.178+05:30","False",true
"2023-11-17T02:27:45.731+05:30","MotherHub_YKB","MotherHub_NAG_BTS","KathoraHub_KTR","EBBIKTR-1429832","00:00:00","12","2023-11-17T00:24:40.827+05:30","ca.2787351","BAG",true,"Source","Stagged","2023-11-17T02:27:44.168+05:30","False",true
"2023-11-17T02:27:35.692+05:30","MotherHub_YKB","MotherHub_NAG_BTS","ChandrapurHub_CDP","ECDPCDP-660889948","00:00:00","12","2023-11-17T00:18:14.289+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:27:33.146+05:30","False",true
"2023-11-17T02:27:30.781+05:30","MotherHub_YKB","MotherHub_NAG_BTS","ChhindwaraHub_CHH","ECHHCHH-660859929","00:00:00","12","2023-11-17T00:29:50.211+05:30","ca.2780362","BAG",true,"Source","Stagged","2023-11-17T02:27:26.051+05:30","False",true
"2023-11-17T02:26:50.747+05:30","MotherHub_YKB","Motherhub_GUW","Motherhub_GUW","EGAUGUW-3378182-1314","00:00:00","13","2023-11-17T02:26:43.044+05:30","ca.2322905","BAG",false,"Source","Not Stagged","2023-11-17T02:26:41.043+05:30","True",false
"2023-11-17T02:26:01.496+05:30","MotherHub_YKB","Motherhub_CUT","Motherhub_CUT","EBHUCUT-3585634-1304","16:00:00","23","2023-11-17T01:28:37.379+05:30","ca.2322905","BAG",true,"Source","Stagged","2023-11-17T02:25:59.806+05:30","False",true
"2023-11-17T02:25:55.842+05:30","MotherHub_YKB","Motherhub_CUT","Motherhub_CUT","EBHUCUT-3585633-1301","16:00:00","23","2023-11-17T01:24:45.429+05:30","ca.2323922","BAG",true,"Source","Stagged","2023-11-17T02:25:52.810+05:30","False",true
