"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"BudhViharHub_DEL_PL","MotherHub_YKB","B5",4,4,"Motherhub_GGN"
"DehradunHub_DED_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"PanipatHub_PPT_PL","MotherHub_YKB","B5",23,20,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","B5",1,1,"CentralHub_FPT"
"MoradabadHub_MRD_PL","MotherHub_YKB","B5",2,2,"MotherHub_BNL"
"ELASTICRUNHANSIODH_HNS_PL","MotherHub_YKB","B5",17,4,"MotherHub_YKB"
"GwaliorHub_GWL_PL","MotherHub_YKB","B5",6,5,"MotherHub_YKB"
"Firozabad_FZD_PL","MotherHub_YKB","ZO",21,1,"MotherHub_YKB"
"PrahladPur_DEL_PL","MotherHub_YKB","ZO",18,13,"MotherHub_YKB"
"CanttHissarHub_HSS_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"KarnalHub_KAL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"NoidaHub_DEL_PL","MotherHub_YKB","ZO",8,6,"MotherHub_YKB"
"NoidaHub_DEL_PL","MotherHub_YKB","B5",10,10,"MotherHub_YKB"
"SonepatHub_SOP_PL","MotherHub_YKB","ZO",9,9,"MotherHub_YKB"
"KarolbaghHub_DEL_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"Chhatarpur_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_YKB"
"PrahladPur_DEL_PL","MotherHub_YKB","B5",18,11,"MotherHub_YKB"
"ShahdaraHub_DEL_PL","MotherHub_YKB","ZO",7,6,"MotherHub_YKB"
"GandhinagarHub_DEL_PL","MotherHub_YKB","B5",8,6,"MotherHub_YKB"
"NajafgarhHub_DEL_PL","MotherHub_YKB","B5",9,8,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO",7,6,"Motherhub_GGN"
"BadshahpurHub_DEL_PL","MotherHub_YKB","ZO",20,18,"MotherHub_YKB"
"MuzaffarnagarHub_MFN_PL","MotherHub_YKB","ZO",42,1,"MotherHub_YKB"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","ZO",7,5,"MotherHub_YKB"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","ZO",5,4,"MotherHub_YKB"
"MeerutHub_PL","MotherHub_YKB","ZO",33,16,"MotherHub_YKB"
"DehradunHub_DED_PL","MotherHub_YKB","B5",3,2,"MotherHub_YKB"
"DasnaHub_DEL_PL","MotherHub_YKB","ZO",29,8,"MotherHub_YKB"
"DhampurHub_DHM_PL","MotherHub_YKB","B5",31,1,"MotherHub_BNL"
"Britania_DEL_PL","MotherHub_YKB","B5",4,4,"Motherhub_GGN"
"DasnaHub_DEL_PL","MotherHub_YKB","B5",10,4,"MotherHub_YKB"
"MoradabadHub_MRD_PL","MotherHub_YKB","B5",5,3,"MotherHub_YKB"
"AlwarHub_ALW_PL","MotherHub_YKB","B5",13,8,"MotherHub_YKB"
"HaridwarHub_HRD_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"YamunaViharHub_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"AshokviharHub_DEL_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"MayurVihar_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"GwaliorHub_GWL_PL","MotherHub_YKB","ZO",5,5,"MotherHub_YKB"
"UttamNagarHub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_FRK"
"CanttHissarHub_HSS_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"AdarshNagarHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"AligarhHub_ALG_PL","MotherHub_YKB","ZO",5,4,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","ZO",11,4,"MotherHub_YKB"
"RATIAODH_RTA_PL","MotherHub_YKB","B5",2,1,"MotherHub_YKB"
"HapurHub_HPU_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"KarnalHub_KAL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"HissarHub_HSS_PL","MotherHub_YKB","B5",8,8,"MotherHub_YKB"
"RewariHub_RWR_PL","MotherHub_YKB","B5",4,1,"MotherHub_YKB"
"Chhatarpur_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","ZO",18,1,"MotherHub_BNL"
"ModelTownHub_DEL_PL","MotherHub_YKB","ZO",3,2,"MotherHub_YKB"
"Rohinihub_DEL_PL","MotherHub_YKB","B5",4,4,"MotherHub_YKB"
"IDENTIFYPLUSELLENABADODH_ELB_PL","MotherHub_YKB","ZO",5,1,"MotherHub_YKB"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",1,1,"CentralHub_L_LUHX1"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","ZO",1,1,"CentralHub_FPT"
"BhiwaniHub_DEL_PL","MotherHub_YKB","ZO",1,1,"Motherhub_GGN"
"UttamNagarHub_DEL_PL","MotherHub_YKB","ZO",4,4,"MotherHub_FRK"
"RoorkeeHub_HRD_PL","MotherHub_YKB","ZO",11,2,"MotherHub_YKB"
"NehruPlaceHub_DEL_PL","MotherHub_YKB","B5",3,3,"MotherHub_YKB"
"RATIAODH_RTA_PL","MotherHub_YKB","ZO",2,1,"MotherHub_YKB"
"AmrohaHub_AOA_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"BharatpurHub_BTP_PL","MotherHub_YKB","ZO",6,5,"MotherHub_YKB"
"IDENTIFYPLUSELLENABADODH_ELB_PL","MotherHub_YKB","B5",3,1,"MotherHub_YKB"
"SaharanpurHub_SHP_PL","MotherHub_YKB","B5",5,4,"MotherHub_YKB"
"BulandshahrHub_BUR_PL","MotherHub_YKB","B5",4,1,"MotherHub_YKB"
"BhiwaniHub_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_GGN"
"MayurVihar_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"AshokviharHub_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_IDO"
"ChanakyapuriHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"KarolbaghHub_DEL_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"YamunaViharHub_DEL_PL","MotherHub_YKB","ZO",2,1,"Motherhub_ABD_EXT_VMH"
"Firozabad_FZD_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"ModelTownHub_DEL_PL","MotherHub_YKB","B5",3,2,"MotherHub_YKB"
"SaharanpurHub_SHP_PL","MotherHub_YKB","ZO",3,3,"MotherHub_YKB"
"AmrohaHub_AOA_PL","MotherHub_YKB","B5",1,1,"MotherHub_BNL"
"MuzaffarnagarHub_MFN_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"RewariHub_RWR_PL","MotherHub_YKB","ZO",4,1,"MotherHub_YKB"
"ShahdaraHub_DEL_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"MeerutHub_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB_Flex"
"AligarhHub_ALG_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"PanipatHub_PPT_PL","MotherHub_YKB","ZO",1,1,"Motherhub_GGN"
