,bag_facility_source_name,bag_facility_current_name,bag_facility_destination_name,bag_type_ph,tracking_id_ekart,bag_id,bag_status,fact_updated_at,_source,bag_xdock,fact_updated_at_1
576,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240884968,PH-ZO-DELYKB-30480146,OPENED,2023-11-17T14:51:23.000+05:30,BAG,False,2023-11-17T14:51:23.000+05:30
578,MundkaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2013188072,PH-ZO-DELYKB-30481529,OPENED,2023-11-17T04:24:40.000+05:30,BAG,False,2023-11-17T04:24:40.000+05:30
579,GandhinagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012563153,PH-ZO-DELYKB-30463879,OPENED,2023-11-17T14:51:30.000+05:30,BAG,False,2023-11-17T14:51:30.000+05:30
580,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243533758,PH-ZO-DELYKB-30487392,OPENED,2023-11-17T03:34:00.000+05:30,BAG,False,2023-11-17T03:34:00.000+05:30
582,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243327072,PH-ZO-DELYKB-30493408,OPENED,2023-11-17T13:25:23.000+05:30,BAG,False,2023-11-17T13:25:23.000+05:30
583,NehruPlaceHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010965795,PH-ZO-DELYKB-30460636,OPENED,2023-11-16T14:40:11.000+05:30,BAG,False,2023-11-16T14:40:11.000+05:30
585,Peeragarhi_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011438377,PH-ZO-DELYKB-30471170,OPENED,2023-11-17T01:32:59.000+05:30,BAG,False,2023-11-17T01:32:59.000+05:30
586,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011139355,PH-ZO-DELYKB-30460867,OPENED,2023-11-16T03:15:42.000+05:30,BAG,False,2023-11-16T03:15:42.000+05:30
589,ChanakyapuriHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2004287106,PH-ZO-DELYKB-30357851,OPENED,2023-11-16T05:37:48.000+05:30,BAG,False,2023-11-16T05:37:48.000+05:30
590,RajnagarMP_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241407794,PH-ZO-DELYKB-30465120,OPENED,2023-11-16T12:14:05.000+05:30,BAG,False,2023-11-16T12:14:05.000+05:30
593,BurariHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011748939,PH-ZO-DELYKB-30485642,OPENED,2023-11-17T15:44:19.000+05:30,BAG,False,2023-11-17T15:44:19.000+05:30
602,BurariHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242208675,PH-ZO-DELYKB-30329855,OPENED,2023-11-16T15:03:12.000+05:30,BAG,False,2023-11-16T15:03:12.000+05:30
604,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2004622195,PH-ZO-DELYKB-30319003,OPENED,2023-11-17T10:25:31.000+05:30,BAG,False,2023-11-17T10:25:31.000+05:30
609,Phase3NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011744728,PH-ZO-DELYKB-30478097,OPENED,2023-11-17T12:44:56.000+05:30,BAG,False,2023-11-17T12:44:56.000+05:30
613,Ramaroadhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240937299,PH-ZO-DELYKB-28185437,OPENED,2023-11-16T15:17:10.000+05:30,BAG,False,2023-11-16T15:17:10.000+05:30
614,FaridabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240795929,PH-ZO-DELYKB-30468681,OPENED,2023-11-16T03:38:53.000+05:30,BAG,False,2023-11-16T03:38:53.000+05:30
618,BadshahpurHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243963179,PH-ZO-DELYKB-30434242,OPENED,2023-11-17T09:42:24.000+05:30,BAG,False,2023-11-17T09:42:24.000+05:30
620,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240195991,PH-ZO-DELYKB-30347009,OPENED,2023-11-16T11:15:43.000+05:30,BAG,False,2023-11-16T11:15:43.000+05:30
623,BadshahpurHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239539509,PH-ZO-DELYKB-30419784,OPENED,2023-11-16T13:43:11.000+05:30,BAG,False,2023-11-16T13:43:11.000+05:30
627,Britania_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3226002691,PH-ZO-DELYKB-30277439,OPENED,2023-11-17T11:08:09.000+05:30,SORTATION,False,2023-11-17T11:08:09.000+05:30
628,GurgaonHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241343133,PH-ZO-DELYKB-30465352,OPENED,2023-11-16T10:45:18.000+05:30,BAG,False,2023-11-16T10:45:18.000+05:30
631,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242994529,PH-ZO-DELYKB-30505319,OPENED,2023-11-17T15:35:47.000+05:30,BAG,False,2023-11-17T15:35:47.000+05:30
632,ModelTownHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240161966,PH-ZO-DELYKB-30471109,OPENED,2023-11-16T10:52:56.000+05:30,BAG,False,2023-11-16T10:52:56.000+05:30
634,UttamNagarHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240139803,PH-ZO-DELYKB-30456961,OPENED,2023-11-16T14:27:43.000+05:30,BAG,False,2023-11-16T14:27:43.000+05:30
639,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240035702,PH-ZO-DELYKB-30494978,OPENED,2023-11-17T15:50:31.000+05:30,BAG,False,2023-11-17T15:50:31.000+05:30
641,NoidaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3239924002,PH-ZO-DELYKB-30455985,OPENED,2023-11-16T12:43:39.000+05:30,BAG,False,2023-11-16T12:43:39.000+05:30
643,Ramaroadhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3241813734,PH-ZO-DELYKB-30495068,OPENED,2023-11-17T16:11:15.000+05:30,BAG,False,2023-11-17T16:11:15.000+05:30
651,MundkaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240556831,PH-ZO-DELYKB-30461523,OPENED,2023-11-16T04:25:18.000+05:30,BAG,False,2023-11-16T04:25:18.000+05:30
655,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243734349,PH-ZO-DELYKB-30464316,OPENED,2023-11-17T14:41:20.000+05:30,BAG,False,2023-11-17T14:41:20.000+05:30
658,KarolbaghHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011390583,PH-ZO-DELYKB-30446395,OPENED,2023-11-16T04:16:21.000+05:30,BAG,False,2023-11-16T04:16:21.000+05:30
663,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243022165,PH-ZO-DELYKB-30505319,OPENED,2023-11-17T15:35:47.000+05:30,BAG,False,2023-11-17T15:35:47.000+05:30
664,Jhilmil_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2007860635,PH-ZO-DELYKB-30393678,OPENED,2023-11-17T05:30:36.000+05:30,BAG,False,2023-11-17T05:30:36.000+05:30
667,ShalimarGardenHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011101393,PH-ZO-DELYKB-30484239,OPENED,2023-11-17T12:43:34.000+05:30,BAG,False,2023-11-17T12:43:34.000+05:30
668,GurgaonMilestoneHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2011446291,PH-ZO-DELYKB-30409171,OPENED,2023-11-16T11:12:14.000+05:30,BAG,False,2023-11-16T11:12:14.000+05:30
677,Ramaroadhub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010408278,PH-ZO-DELYKB-30334363,OPENED,2023-11-17T14:12:11.000+05:30,BAG,False,2023-11-17T14:12:11.000+05:30
685,MundkaHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2012731913,PH-ZO-DELYKB-30339804,OPENED,2023-11-17T08:00:04.000+05:30,BAG,False,2023-11-17T08:00:04.000+05:30
686,RanibaghHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3240679392,PH-ZO-DELYKB-30448834,OPENED,2023-11-16T16:01:52.000+05:30,BAG,False,2023-11-16T16:01:52.000+05:30
687,NajafgarhHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3237941834,PH-ZO-DELYKB-30458873,OPENED,2023-11-17T15:00:33.000+05:30,BAG,False,2023-11-17T15:00:33.000+05:30
688,BijwasanHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPP2010226216,PH-ZO-DELYKB-30461721,OPENED,2023-11-16T10:06:23.000+05:30,BAG,False,2023-11-16T10:06:23.000+05:30
689,SahibabadHub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3242068490,PH-ZO-DELYKB-30446612,OPENED,2023-11-16T05:06:47.000+05:30,BAG,False,2023-11-16T05:06:47.000+05:30
691,Pitampurahub_DEL_PL,MotherHub_YKB,MotherHub_YKB,ZO,FMPC3243772935,PH-ZO-DELYKB-30482469,OPENED,2023-11-17T16:11:18.000+05:30,BAG,False,2023-11-17T16:11:18.000+05:30
