"bag_facility_source_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","shipment_facility_current_name"
"Ramaroadhub_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BhiwaniHub_DEL_PL","MotherHub_YKB","ZO",1,1,"Motherhub_GGN"
"BurariHub_DEL_PL","MotherHub_YKB","B5",2,2,"MotherHub_YKB"
"AmrohaHub_AOA_PL","MotherHub_YKB","B5",3,1,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","ZO",1,1,"Motherhub_GGN"
"AmrohaHub_AOA_PL","MotherHub_YKB","B5",1,1,"MotherHub_BNL"
"RewariHub_RWR_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"YamunaViharHub_DEL_PL","MotherHub_YKB","ZO",2,1,"Motherhub_ABD_EXT_VMH"
"NarelaHub_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BallabhgarhHub_Del_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"BilaspurHub_DRH_PL","MotherHub_YKB","ZO",2,2,"MotherHub_YKB"
"VasundharaHub_DEL_PL","MotherHub_YKB","ZO",2,1,"MotherHub_YKB"
"RajnagarMP_DEL_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BudhViharHub_DEL_PL","MotherHub_YKB","B5",1,1,"Motherhub_GGN"
"JhansiHub_JHS_PL","MotherHub_YKB","B5",1,1,"MotherHub_YKB"
"AmrohaHub_AOA_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"ModinagarHub_MEE_PL","MotherHub_YKB","ZO",1,1,"MotherHub_YKB"
"BareillyHub_BRY_PL","MotherHub_YKB","ZO",1,1,"MotherHub_BNL"
