"bag_facility_source_name","bag_facility_current_name","bag_facility_destination_name","bag_type_ph","tracking_id_ekart","bag_id","bag_status","fact_updated_at","_source","bag_xdock","fact_updated_at_1"
"GurgaonHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268087191","PH-ZO-DELYKB-30772204","OPENED","2023-11-28T09:46:45.000+05:30","NBU",false,"2023-11-28T09:46:45.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3237230798","PH-ZO-DELYKB-30755474","OPENED","2023-11-28T03:37:39.000+05:30","BAG",false,"2023-11-28T03:37:39.000+05:30"
"GandhinagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268073271","PH-B5-DELYKB-29753600","OPENED","2023-11-27T08:23:26.000+05:30","BAG",false,"2023-11-27T08:23:26.000+05:30"
"VasundharaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028050884","PH-ZO-DELYKB-30811420","OPENED","2023-11-28T07:27:58.000+05:30","BAG",false,"2023-11-28T07:27:58.000+05:30"
"NoidaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269739544","PH-B5-DELYKB-30809397","OPENED","2023-11-28T08:14:21.000+05:30","BAG",false,"2023-11-28T08:14:21.000+05:30"
"BallabhgarhHub_Del_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268201520","PH-ZO-DELYKB-30775652","OPENED","2023-11-27T09:04:58.000+05:30","BAG",false,"2023-11-27T09:04:58.000+05:30"
"CABTJalandharOPH_JLR_PL","MotherHub_YKB","MotherHub_YKB","B5","SDLC1026373730","PH-B5-DELYKB-30160696","REACHED","2023-11-27T08:36:02.000+05:30","BAG",false,"2023-11-27T08:36:02.000+05:30"
"BadshahpurHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPP2029238243","PH-B5-DELYKB-30791975","OPENED","2023-11-28T11:05:41.000+05:30","NBU",false,"2023-11-28T11:05:41.000+05:30"
"SahibabadHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3266933039","PH-ZO-DELYKB-28757385","OPENED","2023-11-27T08:27:32.000+05:30","BAG",false,"2023-11-27T08:27:32.000+05:30"
"DasnaHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3268984090","PH-ZO-DELYKB-30732158","OPENED","2023-11-28T07:37:06.000+05:30","NBU",false,"2023-11-28T07:37:06.000+05:30"
"AshokviharHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3268763968","PH-B5-DELYKB-30818266","OPENED","2023-11-28T11:48:50.000+05:30","NBU",false,"2023-11-28T11:48:50.000+05:30"
"BijwasanHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2028117045","PH-ZO-DELYKB-30818902","OPENED","2023-11-28T07:50:11.000+05:30","NBU",false,"2023-11-28T07:50:11.000+05:30"
"NajafgarhHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3269253250","PH-B5-DELYKB-30819748","OPENED","2023-11-28T07:47:23.000+05:30","NBU",false,"2023-11-28T07:47:23.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269547603","PH-ZO-DELYKB-30790085","OPENED","2023-11-28T03:14:28.000+05:30","BAG",false,"2023-11-28T03:14:28.000+05:30"
"IPextension_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269894228","PH-ZO-DELYKB-30821222","REACHED","2023-11-28T02:15:12.000+05:30","BAG",false,"2023-11-28T02:15:12.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPP2029008735","PH-ZO-DELYKB-30809792","OPENED","2023-11-28T03:08:54.000+05:30","BAG",false,"2023-11-28T03:08:54.000+05:30"
"UttamNagarHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3266786294","PH-B5-DELYKB-30789995","OPENED","2023-11-28T05:58:51.000+05:30","BAG",false,"2023-11-28T05:58:51.000+05:30"
"Jhilmil_DEL_PL","MotherHub_YKB","MotherHub_YKB","B5","FMPC3266439818","PH-B5-DELYKB-30803614","OPENED","2023-11-28T08:28:47.000+05:30","BAG",false,"2023-11-28T08:28:47.000+05:30"
"BijwasanHub_DEL_PL","MotherHub_YKB","MotherHub_YKB","ZO","FMPC3269730763","PH-ZO-DELYKB-30818902","OPENED","2023-11-28T07:50:11.000+05:30","NBU",false,"2023-11-28T07:50:11.000+05:30"
